French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
voiture,car
maison,house
femme,woman
homme,man
chat,cat
chien,dog
chaise,chair
table,table
école,school
livre,book
pomme,apple
banane,banana
soleil,sun
lune,moon
ciel,sky
nuit,night
jour,day
heure,hour
minute,minute
semaine,week
mois,month
année,year
temps,time
pluie,rain
neige,snow
vent,wind
froid,cold
chaud,hot
doux,soft
dur,hard
fort,strong
faible,weak
rapide,fast
lent,slow
grand,tall
petit,small
beau,handsome
laid,ugly
riche,rich
pauvre,poor
heureux,happy
triste,sad
fatigué,tired
malade,sick
faim,hungry
soif,thirsty
je,me/I
tu,you
il,he
elle,she
nous,we
vous,you (formal/plural)
ils,they
elles,they (fem)
moi,me
toi,you
lui,him
elle,her
eux,them
ici,here
là-bas,there
partout,everywhere
quelque part,somewhere
nulle part,nowhere
oui,yes
non,no
peut-être,maybe
toujours,always
jamais,never
souvent,often
parfois,sometimes
rarement,rarely
déjà,already
encore,again
maintenant,now
bientôt,soon
tôt,early
tard,late
bon,good
mauvais,bad
meilleur,better
pire,worse
chaque,each
tout,everything
rien,nothing
quel,which
qui,who
que,what
comment,how
quand,when
où,where
pourquoi,why
parce que,because
si,if
donc,so
ou,or
et,and
mais,but
avec,with
sans,without
dans,in
sur,on
sous,under
devant,in front
derrière,behind
entre,between
à côté de,next to
loin de,far from
près de,near
chez,at the home of
